data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2025-07-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-07-28,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-07-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-07-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-07-31,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-08-01,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-08-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-08-04,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-08-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-08-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-08-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-08-08,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-08-09,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-08-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-08-12,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,1,terça-feira
2025-08-13,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-08-14,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-08-15,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-08-16,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,5,sábado
2025-08-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-08-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-08-20,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,2,quarta-feira
2025-08-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-08-22,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-08-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-08-25,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,0,segunda-feira
2025-08-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-08-27,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-08-28,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-08-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-08-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-09-01,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-09-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-09-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-09-04,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
